Order_ID,Customer_Name,City,Restaurant_Name,Cuisine,Order_Amount,Delivery_Time_Min,Rating,Payment_Method,Delivery_Status,Discount_Percent,Order_Date,Customer_Age,Distance_km
ZM100094,Tarini Kari,Pune,Bava-Khosla Restaurant,Desserts,2069.69,32.0,5.0,Upi,Pending,20.0,2025-10-01,41.0,3.5
ZM100095,Yuvraj  Rau,Bangalore,Sarna Group Restaurant,Fast Food,1356.38,26.0,4.0,Wallet,Cancelled,5.0,2025-08-23,44.0,13.0
ZM100096,Zoya Goyal,Chandigarh,"Sanghvi, Jha And Chopra Restaurant",North Indian,382.85,57.0,3.0,Cash,Delivered,15.0,2026-01-14,48.0,4.3
ZM100097,Dhanush Wagle,Mumbai,Buch-Khanna Restaurant,North Indian,2112.16,82.0,3.0,Upi,Cancelled,10.0,2025-05-18,37.0,6.7
ZM100098,Mahika Lall,Mumbai,"Sankar, Ray And Chacko Restaurant",Biryani,188.62,45.0,3.0,Card,Cancelled,5.0,2025-06-21,57.0,14.7
ZM100099,Jivin Gokhale,Hyderabad,Ghosh-Sur Restaurant,Chinese,1428.59,79.0,1.0,Wallet,Cancelled,5.0,2026-02-08,58.0,10.0
ZM100100,Mishti Garde,Chandigarh,"Dani, Sabharwal And Wali Restaurant",Chinese,1877.69,20.0,3.0,Card,Pending,10.0,2026-05-06,38.5,17.7
ZM100101,Tejas Rattan,Kolkata,Yadav Plc Restaurant,North Indian,252.94,20.0,3.0,Card,Pending,20.0,2025-06-25,52.0,1.9
ZM100102,Eshani Din,Delhi,Loke Group Restaurant,Cafe,2028.45,66.0,3.0,Wallet,Cancelled,10.0,2025-06-17,49.0,9.8
ZM100103,Veer Savant,Pune,"Boase, Deo And Baral Restaurant",Chinese,2488.48,52.0,3.0,Upi,Delivered,15.0,2025-08-22,38.5,11.7
ZM100104,Zoya Dugar,Kolkata,Goel-Gole Restaurant,North Indian,2292.28,70.0,5.0,Upi,Delivered,0.0,2025-10-08,58.0,13.3
ZM100105,Ira Buch,Mumbai,Walia-Gill Restaurant,Biryani,1316.1093020833334,61.0,3.0,Wallet,Pending,5.0,2025-06-01,56.0,11.8
ZM100106,Ryan Dash,Mumbai,Gandhi Ltd Restaurant,Italian,1085.38,46.0,2.0,Upi,Pending,10.0,2025-11-06,49.0,22.9
ZM100107,Navya Sha,Kolkata,Ratta-Mahal Restaurant,South Indian,821.11,77.0,4.0,Upi,Delivered,5.0,2026-03-15,46.0,18.1
ZM100108,Tejas Srinivasan,Hyderabad,Kaul-Vohra Restaurant,Cafe,1442.49,53.0,3.0,Cash,Cancelled,0.0,2026-03-31,32.0,5.8
ZM100109,Darshit Yohannan,Hyderabad,"Ranganathan, Sinha And Sheth Restaurant",Cafe,2460.08,26.0,2.0,Card,Cancelled,0.0,2026-03-04,48.0,19.5
ZM100110,Shayak Dora,Na,Thakkar Ltd Restaurant,Chinese,1748.26,85.0,3.0,Cash,Cancelled,0.0,2025-07-24,21.0,13.4
ZM100111,Parinaaz Brar,Chandigarh,"Wali, Char And Ben Restaurant",Cafe,1369.41,25.0,5.0,Cash,Pending,0.0,2025-12-10,35.0,8.3
ZM100112,Ryan Rattan,Mumbai,Chandran Group Restaurant,Italian,1617.53,58.0,1.0,Upi,Delivered,5.0,2025-08-14,59.0,7.4
ZM100113,Anay Goel,Na,"Chad, Apte And Sura Restaurant",North Indian,1623.84,53.0,3.0,Cash,Pending,20.0,2026-01-27,37.0,17.5
ZM100114,Inaaya  Chandran,Chandigarh,Contractor-Dass Restaurant,Cafe,884.57,59.0,3.0,Cash,Cancelled,0.0,2026-02-23,53.0,6.8
ZM100115,Khushi Agate,Mumbai,"Jaggi, Rattan And Bava Restaurant",North Indian,1052.75,46.0,3.0,Card,Pending,0.0,2026-03-13,38.0,4.8
ZM100116,Siya Hans,Kolkata,Bains And Sons Restaurant,North Indian,1074.12,45.0,4.0,Card,Delivered,5.0,2025-08-24,36.0,22.2
ZM100117,Ritvik Kala,Delhi,Khare-Sha Restaurant,Chinese,2223.77,66.0,3.0,Upi,Cancelled,5.0,2025-06-14,54.0,9.7
ZM100118,Madhav Hegde,Delhi,Koshy Inc Restaurant,Fast Food,1614.62,31.0,2.0,Wallet,Cancelled,15.0,2025-12-18,53.0,19.1
ZM100119,Shray Bora,Delhi,Dyal-Vig Restaurant,North Indian,1316.1093020833334,75.0,3.0,Cash,Pending,0.0,2026-02-02,26.0,15.7
ZM100120,Renee Sarkar,Jaipur,Iyer-Upadhyay Restaurant,Cafe,1347.83,87.0,5.0,Wallet,Delivered,15.0,2026-02-20,39.0,24.5
ZM100121,Eva Kibe,Na,Amble Ltd Restaurant,North Indian,774.0,89.0,4.0,Upi,Pending,20.0,2025-07-20,28.0,18.3
ZM100122,Aaina Choudhary,Delhi,"Sahota, Bala And Ravel Restaurant",Chinese,1186.44,67.0,4.0,Wallet,Pending,0.0,2025-11-01,48.0,18.7
ZM100123,Tarini Kala,Delhi,"Chokshi, Shanker And Chakrabarti Restaurant",Cafe,1274.17,37.0,3.0,Card,Pending,15.0,2026-04-13,38.5,18.3
ZM100124,Dhanush Agrawal,Kolkata,Contractor And Sons Restaurant,South Indian,805.67,53.0,5.0,Cash,Pending,0.0,2025-06-19,49.0,9.4
ZM100125,Baiju Shroff,Delhi,"Agrawal, Badal And Kunda Restaurant",Desserts,1077.15,33.0,5.0,Upi,Cancelled,0.0,2025-12-25,23.0,11.6
ZM100126,Amani Garg,Delhi,Krish Group Restaurant,Fast Food,1786.0,90.0,4.0,Cash,Delivered,0.0,2026-01-03,51.0,6.6
ZM100127,Anya Sengupta,Mumbai,Mall And Sons Restaurant,Italian,1316.1093020833334,35.0,3.0,Wallet,Cancelled,0.0,2026-03-24,30.0,7.9
ZM100128,Divij Kar,Mumbai,Rattan Inc Restaurant,South Indian,1849.33,37.0,3.0,Cash,Delivered,20.0,2025-12-19,49.0,19.0
ZM100129,Unknown,Mumbai,Keer And Sons Restaurant,Chinese,937.35,84.0,3.0,Cash,Pending,20.0,2025-12-17,35.0,3.7
ZM100130,Jayan Atwal,Bangalore,Magar Plc Restaurant,North Indian,2008.3,39.0,3.0,Wallet,Cancelled,0.0,2026-02-20,38.0,17.1
ZM100131,Mehul Dhingra,Chandigarh,Bera-Behl Restaurant,North Indian,703.47,57.0,5.0,Upi,Cancelled,0.0,2026-02-09,41.0,2.5
ZM100132,Jayan Choudhury,Na,Sarkar Group Restaurant,Fast Food,1650.97,62.0,4.0,Cash,Delivered,20.0,2026-03-15,27.0,24.7
ZM100133,Nayantara Sagar,Kolkata,Hegde Group Restaurant,South Indian,1748.8,25.0,3.0,Card,Delivered,0.0,2025-11-04,25.0,14.1
ZM100134,Drishya Sem,Bangalore,"Thaman, Kaur And Chandra Restaurant",Cafe,1188.33,89.0,3.0,Upi,Pending,20.0,2025-08-29,21.0,13.3
ZM100135,Mannat Trivedi,Na,Bhatia-Dash Restaurant,Fast Food,1080.48,42.0,2.0,Upi,Cancelled,15.0,2025-09-23,38.5,24.9
ZM100136,Jiya Balan,Jaipur,Bahl Plc Restaurant,Desserts,468.26,68.0,3.0,Wallet,Cancelled,20.0,2026-04-09,42.0,24.1
ZM100137,Kismat Cheema,Mumbai,Koshy And Sons Restaurant,Italian,1073.69,43.0,1.0,Upi,Cancelled,20.0,2025-08-11,38.5,11.2
ZM100138,Umang Vaidya,Hyderabad,"Sachdev, Randhawa And Chad Restaurant",Italian,2352.91,29.0,1.0,Wallet,Pending,5.0,2025-11-01,33.0,3.4
ZM100139,Eshani Chhabra,Delhi,Sood Group Restaurant,South Indian,1095.32,42.0,1.0,Cash,Pending,15.0,2026-04-27,32.0,18.6
ZM100140,Sana Dhaliwal,Hyderabad,Chaudhari-Deep Restaurant,South Indian,486.66,43.0,3.0,Card,Cancelled,5.0,2025-12-02,53.0,22.1
ZM100141,Abram Dalal,Kolkata,"Dhawan, Swamy And De Restaurant",North Indian,2362.73,82.0,3.0,Wallet,Cancelled,10.0,2026-02-14,37.0,19.1
ZM100142,Umang Korpal,Bangalore,Rau And Sons Restaurant,Biryani,1471.61,86.0,3.0,Wallet,Delivered,15.0,2025-09-14,31.0,2.9
ZM100143,Damini Hari,Chandigarh,"Dutta, Kohli And Varma Restaurant",North Indian,1733.13,24.0,4.0,Cash,Cancelled,10.0,2025-09-26,39.0,22.8
ZM100144,Keya Chacko,Mumbai,"Dani, Gaba And Sarraf Restaurant",Biryani,1784.72,65.0,4.0,Card,Cancelled,20.0,2026-01-26,47.0,9.6
ZM100145,Anvi Chaudhary,Kolkata,"Yogi, Dada And Ghose Restaurant",Chinese,1847.67,55.0,4.0,Card,Cancelled,20.0,2026-01-01,20.0,6.3
ZM100146,Faiyaz Golla,Mumbai,Chauhan-Lala Restaurant,Desserts,611.05,87.0,4.0,Wallet,Pending,0.0,2026-03-01,38.5,19.3
ZM100147,Samiha Halder,Kolkata,Chakrabarti-Ravi Restaurant,Biryani,2018.19,84.0,3.0,Cash,Pending,0.0,2025-09-06,21.0,21.1
ZM100148,Yuvaan Lata,Delhi,Kumar-Raman Restaurant,Desserts,1632.15,34.0,1.0,Cash,Pending,20.0,2026-04-06,41.0,16.3
ZM100149,Yashvi Sehgal,Delhi,"Lala, Sodhi And Kalla Restaurant",North Indian,1116.65,52.38657551274083,5.0,Card,Delivered,0.0,2025-07-03,38.5,20.3
ZM100150,Azad Bumb,Bangalore,Taneja Inc Restaurant,South Indian,1387.17,49.0,3.0,Upi,Cancelled,20.0,2026-02-12,47.0,24.8
ZM100151,Samaira De,Mumbai,"Borah, Sodhi And Viswanathan Restaurant",North Indian,1041.27,22.0,1.0,Cash,Delivered,20.0,2026-01-19,45.0,9.0
ZM100152,Vidur Som,Chandigarh,"Sibal, Jaggi And Keer Restaurant",South Indian,1776.88,49.0,1.0,Upi,Pending,15.0,2026-03-27,52.0,1.8
ZM100153,Akarsh Bahri,Bangalore,"Shetty, Ganguly And Wali Restaurant",Desserts,853.3,87.0,3.0,Card,Cancelled,0.0,2025-12-04,26.0,17.5
ZM100154,Seher Tiwari,Delhi,"Randhawa, Kala And Anand Restaurant",Chinese,2120.89,65.0,3.0,Upi,Pending,15.0,2026-04-04,46.0,9.5
ZM100155,Shamik Verma,Na,Tank-Krish Restaurant,Desserts,1603.75,24.0,2.0,Card,Delivered,20.0,2025-11-03,58.0,10.4
ZM100156,Unknown,Jaipur,"Chandran, Kanda And Batta Restaurant",Biryani,783.95,38.0,3.0,Wallet,Pending,0.0,2025-11-11,50.0,1.6
ZM100157,Shlok Sule,Hyderabad,"Bajwa, Dani And Majumdar Restaurant",Desserts,1316.1093020833334,25.0,4.0,Cash,Pending,20.0,2025-11-14,28.0,8.2
ZM100158,Ayesha Dubey,Jaipur,Loke-Dua Restaurant,Desserts,1989.27,46.0,3.0,Cash,Cancelled,5.0,2025-09-04,26.0,23.8
ZM100159,Emir Dutt,Hyderabad,Yohannan Ltd Restaurant,Biryani,2066.37,32.0,5.0,Card,Pending,0.0,2025-11-25,30.0,5.3
ZM100160,Samaira Ahuja,Na,Suri Inc Restaurant,Biryani,1987.64,50.0,3.0,Card,Delivered,0.0,2025-10-23,30.0,14.1
ZM100161,Unknown,Kolkata,"Wali, Uppal And Mangat Restaurant",South Indian,834.63,67.0,3.0,Cash,Pending,15.0,2025-05-30,33.0,4.7
ZM100162,Vanya Mander,Mumbai,Sethi Inc Restaurant,Biryani,1405.76,68.0,1.0,Card,Pending,0.0,2025-10-10,56.0,3.0
ZM100163,Kanav Saxena,Na,Sahota Inc Restaurant,North Indian,1665.82,57.0,3.0,Upi,Delivered,5.0,2026-01-07,34.0,18.9
ZM100164,Rhea Bhavsar,Kolkata,"Din, Hayer And Rattan Restaurant",Cafe,1965.0,79.0,3.0,Card,Delivered,20.0,2025-08-02,24.0,23.1
ZM100165,Urvi Rajagopalan,Bangalore,Chauhan-Agarwal Restaurant,Cafe,1220.03,76.0,3.0,Wallet,Delivered,20.0,2026-04-01,38.5,2.6
ZM100166,Anay Krish,Hyderabad,Cherian Plc Restaurant,Chinese,536.23,46.0,3.0,Cash,Cancelled,0.0,2026-04-22,45.0,6.6
ZM100167,Baiju Dhaliwal,Na,Uppal Group Restaurant,Desserts,1882.86,72.0,3.0,Wallet,Delivered,0.0,2025-10-19,31.0,19.1
